time,open,high,low,close,adjclose,volume,splits
2025-05-09,128.85000610351562,128.85000610351562,126.02999877929688,128.6699981689453,126.00912475585938,4857600,0.0
2025-05-12,129.88999938964844,130.8000030517578,127.38999938964844,130.55999755859375,127.86004638671875,4686400,0.0
2025-05-13,131.0,132.0399932861328,130.4600067138672,130.72000122070312,128.01673889160156,4334700,0.0
2025-05-14,131.49000549316406,131.85000610351562,129.11000061035156,130.7899932861328,128.0852813720703,4843600,0.0
2025-05-15,131.94000244140625,135.64999389648438,131.75,135.52000427246094,132.71746826171875,6772200,0.0
2025-05-16,135.7100067138672,136.39999389648438,134.47999572753906,135.47999572753906,132.6782989501953,4776000,0.0
2025-05-19,135.8800048828125,137.72000122070312,135.19000244140625,137.1999969482422,134.36273193359375,5180800,0.0
2025-05-20,136.38999938964844,137.75,135.88999938964844,137.17999267578125,134.34315490722656,4998600,0.0
2025-05-21,138.5,138.82000732421875,134.85000610351562,134.9499969482422,132.1592559814453,5514900,0.0
2025-05-22,134.60000610351562,134.97999572753906,133.50999450683594,134.07000732421875,131.29747009277344,3790900,0.0
2025-05-23,131.85000610351562,133.38999938964844,131.32000732421875,132.35000610351562,130.27377319335938,5510000,0.0
2025-05-27,134.49000549316406,134.89999389648438,132.14999389648438,134.19000244140625,132.0849151611328,5160800,0.0
2025-05-28,134.63999938964844,135.0,130.89999389648438,132.85000610351562,130.76593017578125,5426300,0.0
2025-05-29,132.1199951171875,135.08999633789062,131.89999389648438,134.8000030517578,132.6853485107422,3634700,0.0
2025-05-30,135.0,137.3000030517578,134.3699951171875,136.47999572753906,134.3389892578125,8195100,0.0
2025-06-02,136.4199981689453,137.52000427246094,135.42999267578125,137.4600067138672,135.30361938476562,3946200,0.0
2025-06-03,137.41000366210938,138.7899932861328,136.42999267578125,137.5,135.34298706054688,3493900,0.0
2025-06-04,138.16000366210938,138.86000061035156,137.64999389648438,138.5500030517578,136.37652587890625,3200400,0.0
2025-06-05,139.1999969482422,139.32000732421875,138.24000549316406,139.07000732421875,136.88836669921875,3510800,0.0
2025-06-06,139.67999267578125,140.64999389648438,138.32000732421875,139.10000610351562,136.9178924560547,4511000,0.0
2025-06-09,139.1999969482422,141.08999633789062,138.27999877929688,140.97999572753906,138.76840209960938,7104300,0.0
2025-06-10,140.5,141.1199951171875,137.94000244140625,138.52000427246094,136.3469696044922,6303500,0.0
2025-06-11,139.0,141.86000061035156,135.42999267578125,141.80999755859375,139.5853729248047,6370300,0.0
2025-06-12,140.27000427246094,142.05999755859375,140.1300048828125,140.97999572753906,138.76840209960938,4664400,0.0
2025-06-13,144.02000427246094,146.02000427246094,142.32000732421875,145.69000244140625,143.40451049804688,11765200,0.0
2025-06-16,146.5,147.07000732421875,144.91000366210938,146.4600067138672,144.1624298095703,7986100,0.0
2025-06-17,147.42999267578125,149.17999267578125,145.80999755859375,148.47999572753906,146.15072631835938,7251800,0.0
2025-06-18,148.55999755859375,149.25999450683594,145.66000366210938,145.8699951171875,143.58168029785156,7116900,0.0
2025-06-20,145.86000061035156,148.14999389648438,143.89999389648438,146.63999938964844,144.33958435058594,9220600,0.0
2025-06-23,146.82000732421875,147.07000732421875,145.10000610351562,145.80999755859375,143.5226287841797,6548500,0.0
2025-06-24,143.5,144.0399932861328,140.50999450683594,141.85000610351562,139.624755859375,8242100,0.0
2025-06-25,142.27999877929688,142.4199981689453,140.47000122070312,141.3800048828125,139.16212463378906,10395000,0.0
2025-06-26,141.91000366210938,143.39999389648438,141.25999450683594,142.6699981689453,140.431884765625,5407500,0.0
2025-06-27,142.07000732421875,144.7100067138672,141.92999267578125,144.66000366210938,142.39065551757812,9173900,0.0
2025-06-30,145.47999572753906,146.41000366210938,145.0,146.02000427246094,143.7293243408203,5939500,0.0
2025-07-01,145.64999389648438,145.8000030517578,142.66000366210938,144.19000244140625,141.92803955078125,4819500,0.0
2025-07-02,143.66000366210938,144.72000122070312,142.9600067138672,144.52000427246094,142.2528533935547,3253300,0.0
2025-07-03,144.49000549316406,146.38999938964844,144.3699951171875,145.75,143.46356201171875,1888700,0.0
2025-07-07,146.25999450683594,146.77999877929688,145.1300048828125,145.9199981689453,143.6309051513672,4532500,0.0
2025-07-08,145.64999389648438,146.0,142.97999572753906,144.91000366210938,142.63673400878906,4331300,0.0
2025-07-09,145.72999572753906,146.5,144.72999572753906,146.17999267578125,143.88681030273438,2666200,0.0
2025-07-10,146.11000061035156,146.5399932861328,145.02999877929688,146.39999389648438,144.10336303710938,4130900,0.0
2025-07-11,146.17999267578125,147.07000732421875,145.5,146.8699951171875,144.5659942626953,3468800,0.0
2025-07-14,147.88999938964844,149.57000732421875,147.0800018310547,149.27999877929688,146.9381866455078,4461000,0.0
2025-07-15,149.8000030517578,150.75,148.39999389648438,148.67999267578125,146.34759521484375,4530500,0.0
2025-07-16,148.85000610351562,150.36000061035156,148.25999450683594,150.1699981689453,147.81423950195312,3361700,0.0
2025-07-17,150.55999755859375,151.99000549316406,150.19000244140625,151.5,149.12335205078125,4326500,0.0
2025-07-18,151.80999755859375,152.85000610351562,151.0800018310547,151.5,149.12335205078125,5928600,0.0
2025-07-21,151.97999572753906,153.38999938964844,151.05999755859375,151.55999755859375,149.1824188232422,7116000,0.0
2025-07-22,145.47999572753906,150.27000427246094,143.55999755859375,149.1699981689453,146.8299102783203,10722700,0.0
2025-07-23,150.0,156.58999633789062,149.11000061035156,156.49000549316406,154.03509521484375,8667100,0.0
2025-07-24,156.25,157.24000549316406,155.14999389648438,155.22000122070312,152.78500366210938,4865300,0.0
2025-07-25,155.2100067138672,157.3300018310547,154.25999450683594,156.8800048828125,154.41896057128906,4728200,0.0
2025-07-28,157.14999389648438,157.3300018310547,155.6300048828125,156.07000732421875,153.62167358398438,4022900,0.0
2025-07-29,157.72999572753906,158.7899932861328,156.3300018310547,157.1199951171875,154.65518188476562,4341800,0.0
2025-07-30,157.4499969482422,158.72999572753906,156.4199981689453,158.39999389648438,155.9151153564453,3998700,0.0
2025-07-31,158.11000061035156,158.22999572753906,156.75,157.57000732421875,155.09814453125,4796000,0.0
2025-08-01,156.2899932861328,157.47999572753906,153.75,156.80999755859375,154.35006713867188,4420700,0.0
2025-08-04,157.1300048828125,158.41000366210938,156.74000549316406,157.3800048828125,154.9111328125,3961900,0.0
2025-08-05,157.27000427246094,158.0399932861328,155.75999450683594,156.3300018310547,153.87757873535156,4993900,0.0
2025-08-06,156.64999389648438,157.72999572753906,155.63999938964844,155.75,153.3066864013672,4112100,0.0
2025-08-07,154.64999389648438,155.75999450683594,153.24000549316406,155.75999450683594,153.3165283203125,5105800,0.0
2025-08-08,156.60000610351562,156.9199981689453,154.72000122070312,154.86000061035156,152.43064880371094,3667300,0.0
2025-08-11,154.72999572753906,155.6699981689453,154.13999938964844,154.8000030517578,152.37158203125,3572900,0.0
2025-08-12,154.97000122070312,155.92999267578125,154.55999755859375,155.49000549316406,153.05078125,2962300,0.0
2025-08-13,156.0,156.33999633789062,152.66000366210938,155.7100067138672,153.26731872558594,5012300,0.0
2025-08-14,155.60000610351562,156.3300018310547,154.64999389648438,155.0800018310547,152.64720153808594,2766600,0.0
2025-08-15,154.25999450683594,154.8699951171875,153.3300018310547,154.08999633789062,152.34071350097656,4593800,0.0
2025-08-18,154.42999267578125,156.17999267578125,154.39999389648438,155.5,153.73471069335938,3679300,0.0
2025-08-19,154.57000732421875,155.1300048828125,153.2100067138672,153.66000366210938,151.9156036376953,3008600,0.0
2025-08-20,153.77000427246094,157.11000061035156,153.08999633789062,156.58999633789062,154.8123321533203,3766500,0.0
2025-08-21,156.7899932861328,157.75,156.22000122070312,156.32000732421875,154.54541015625,3179800,0.0
2025-08-22,157.0500030517578,157.94000244140625,156.2100067138672,156.24000549316406,154.46632385253906,4252700,0.0
2025-08-25,156.6300048828125,157.63999938964844,156.0,156.27000427246094,154.4959716796875,2431100,0.0
2025-08-26,156.75999450683594,159.6999969482422,156.3800048828125,159.57000732421875,157.75851440429688,5096100,0.0
2025-08-27,159.97000122070312,160.2100067138672,159.0,159.83999633789062,158.0254364013672,2992300,0.0
2025-08-28,160.14999389648438,161.25999450683594,159.25,160.66000366210938,158.8361358642578,3117700,0.0
2025-08-29,161.05999755859375,161.10000610351562,158.42999267578125,158.60000610351562,156.79953002929688,3774900,0.0
2025-09-02,158.1999969482422,158.6300048828125,156.3699951171875,158.00999450683594,156.21620178222656,3260100,0.0
2025-09-03,157.9499969482422,158.33999633789062,156.4499969482422,158.11000061035156,156.31509399414062,2738900,0.0
2025-09-04,158.22999572753906,159.1699981689453,157.5500030517578,158.67999267578125,156.87860107421875,3218800,0.0
2025-09-05,158.60000610351562,159.0,155.55999755859375,157.52000427246094,155.73178100585938,4046300,0.0
2025-09-08,156.9199981689453,157.0,153.66000366210938,154.22000122070312,152.46923828125,5522800,0.0
2025-09-09,153.63999938964844,153.6999969482422,150.61000061035156,151.75,150.0272674560547,5461300,0.0
2025-09-10,152.0,155.0399932861328,151.64999389648438,155.0,153.24037170410156,4520400,0.0
2025-09-11,155.02999877929688,158.00999450683594,154.36000061035156,157.64999389648438,155.86029052734375,4289900,0.0
2025-09-12,157.75,158.13999938964844,155.82000732421875,155.85000610351562,154.08074951171875,3194400,0.0
2025-09-15,155.92999267578125,158.47999572753906,155.7100067138672,158.3699951171875,156.57212829589844,3891400,0.0
2025-09-16,159.85000610351562,159.9499969482422,157.63999938964844,158.5800018310547,156.77975463867188,6525200,0.0
2025-09-17,158.57000732421875,159.32000732421875,157.6199951171875,158.30999755859375,156.51280212402344,3999200,0.0
2025-09-18,157.30999755859375,158.2899932861328,156.5,158.19000244140625,156.3941650390625,3696100,0.0
2025-09-19,158.6999969482422,158.6999969482422,156.69000244140625,158.24000549316406,156.443603515625,7083700,0.0
2025-09-22,158.07000732421875,159.8000030517578,157.6699981689453,159.42999267578125,157.62008666992188,3296700,0.0
2025-09-23,159.75,161.39999389648438,158.9499969482422,160.5399932861328,158.7174835205078,3287100,0.0
2025-09-24,161.14999389648438,163.02999877929688,160.6999969482422,161.3800048828125,159.54795837402344,4269800,0.0
2025-09-25,162.13999938964844,162.3000030517578,159.69000244140625,160.50999450683594,158.68783569335938,3917700,0.0
2025-09-26,162.0,165.35000610351562,161.69000244140625,163.35000610351562,161.49560546875,3961700,0.0
2025-09-29,167.42999267578125,168.27999877929688,162.7899932861328,163.6300048828125,161.7724151611328,6216100,0.0
2025-09-30,164.2899932861328,167.5,163.8699951171875,167.3300018310547,165.430419921875,4893700,0.0
2025-10-01,165.8699951171875,167.72000122070312,165.0800018310547,167.1999969482422,165.3018798828125,4034500,0.0
2025-10-02,167.13999938964844,168.25,165.88999938964844,166.6300048828125,164.7383575439453,3498100,0.0
2025-10-03,166.80999755859375,167.25999450683594,165.5,166.5800018310547,164.68893432617188,2678300,0.0
2025-10-06,167.0,169.75,167.0,168.8000030517578,166.88372802734375,3816900,0.0
2025-10-07,169.36000061035156,170.36000061035156,168.82000732421875,169.27000427246094,167.348388671875,5186500,0.0
2025-10-08,170.07000732421875,170.85000610351562,168.42999267578125,168.57000732421875,166.65634155273438,4683700,0.0
2025-10-09,168.99000549316406,169.14999389648438,161.89999389648438,162.17999267578125,160.3388671875,5962400,0.0
2025-10-10,162.00999450683594,162.4600067138672,157.44000244140625,157.6999969482422,155.90972900390625,7776400,0.0
2025-10-13,158.4499969482422,159.5500030517578,157.3699951171875,158.85000610351562,157.0466766357422,5322300,0.0
2025-10-14,158.1999969482422,160.5800018310547,157.2899932861328,159.39999389648438,157.59043884277344,3590500,0.0
2025-10-15,159.49000549316406,160.66000366210938,155.63999938964844,157.0,155.21766662597656,5954700,0.0
2025-10-16,157.77000427246094,158.3300018310547,156.10000610351562,157.0500030517578,155.26712036132812,3926600,0.0
2025-10-17,156.3300018310547,158.5399932861328,156.10000610351562,157.9499969482422,156.15689086914062,5435200,0.0
2025-10-20,159.6699981689453,162.07000732421875,159.4499969482422,160.7100067138672,158.88555908203125,6517800,0.0
2025-10-21,171.80999755859375,178.75999450683594,170.25999450683594,173.0399932861328,171.0755615234375,12296700,0.0
2025-10-22,174.49000549316406,178.72000122070312,173.9199981689453,177.97999572753906,175.95950317382812,10219100,0.0
2025-10-23,177.60000610351562,179.97999572753906,176.5,179.44000244140625,177.40293884277344,5249400,0.0
2025-10-24,180.4600067138672,180.5,178.2899932861328,178.64999389648438,176.62188720703125,3471600,0.0
2025-10-27,179.42999267578125,179.6300048828125,177.5,179.24000549316406,177.2052001953125,4039700,0.0
2025-10-28,179.3000030517578,181.30999755859375,178.55999755859375,178.6699981689453,176.6416778564453,3344100,0.0
2025-10-29,177.7899932861328,178.97999572753906,176.0,176.36000061035156,174.35789489746094,4285200,0.0
2025-10-30,177.1199951171875,179.0,176.82000732421875,177.4199981689453,175.40585327148438,3637300,0.0
2025-10-31,177.5,179.11000061035156,176.75,178.5,176.47360229492188,4347100,0.0
2025-11-03,178.49000549316406,178.5500030517578,175.4499969482422,177.0399932861328,175.03018188476562,3843800,0.0
2025-11-04,176.55999755859375,177.88999938964844,175.44000244140625,175.61000061035156,173.61642456054688,3837800,0.0
2025-11-05,174.91000366210938,176.75999450683594,173.9199981689453,174.0,172.02468872070312,4493800,0.0
2025-11-06,174.00999450683594,175.38999938964844,173.60000610351562,175.10000610351562,173.11221313476562,3631300,0.0
2025-11-07,175.25999450683594,177.69000244140625,173.75,176.97000122070312,174.9609832763672,3774300,0.0
2025-11-10,176.83999633789062,179.5500030517578,176.3000030517578,179.02999877929688,176.99758911132812,2739000,0.0
2025-11-11,178.80999755859375,180.0,177.41000366210938,179.22000122070312,177.18544006347656,3387700,0.0
2025-11-12,178.60000610351562,179.89999389648438,177.3699951171875,177.69000244140625,175.6728057861328,4470500,0.0
2025-11-13,178.6300048828125,178.7899932861328,173.1300048828125,173.9600067138672,171.9851531982422,3617800,0.0
2025-11-14,173.9600067138672,176.16000366210938,172.5,175.57000732421875,173.57688903808594,3224700,0.0
2025-11-17,176.10000610351562,176.3000030517578,174.6300048828125,175.6300048828125,173.6361846923828,3913600,0.0
2025-11-18,176.6999969482422,177.92999267578125,174.30999755859375,174.72000122070312,172.73651123046875,3742500,0.0
2025-11-19,173.50999450683594,174.77000427246094,172.5,173.77000427246094,171.79730224609375,3902400,0.0
2025-11-20,176.5399932861328,177.5500030517578,172.5,172.72999572753906,170.76910400390625,4221000,0.0
2025-11-21,172.25999450683594,172.3000030517578,168.6199951171875,169.67999267578125,168.41673278808594,6108400,0.0
2025-11-24,169.27999877929688,173.64999389648438,168.89999389648438,173.2100067138672,171.9204864501953,8116600,0.0
2025-11-25,172.75999450683594,173.6300048828125,169.52000427246094,172.14999389648438,170.8683624267578,5511700,0.0
2025-11-26,172.55999755859375,174.02999877929688,172.02000427246094,173.19000244140625,171.90061950683594,3564400,0.0
2025-11-28,173.0399932861328,174.94000244140625,173.0,174.91000366210938,173.60781860351562,1680400,0.0
2025-12-01,173.6999969482422,174.0,167.89999389648438,168.02000427246094,166.7691192626953,4885600,0.0
